The length of genomes,OptimalSolution,BasicInsert,time2(ms),GreedyScaffoldFilling,time3(ms),LocalSearchScaffoldFilling,time4(ms),SLocalSearchScaffoldFilling(s = 2),time5(ms),SLocalSearchScaffoldFilling(s = 3),time6(ms)
120,78,51,1,69,4,72,37,77,1163,78,9720 
120,75,51,3,68,2,73,11,74,166,75,3466 
120,72,53,0,66,2,68,9,69,182,70,3814 
120,74,56,0,70,1,72,11,73,192,74,4075 
120,73,48,1,69,1,71,9,72,167,73,3384 
120,77,57,1,68,2,75,23,76,444,77,10827 
120,76,52,1,70,1,72,13,73,267,74,6583 
120,75,52,1,68,2,70,15,71,296,72,7258 
120,78,59,0,71,2,73,9,74,175,75,3763 
120,69,52,0,65,1,67,7,68,114,69,1972 
